date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:04	41974/41974	---M-Z	200	added ('OK')	text/html	etag:W/%225e7715a4-a3f6%22	https://technext.github.io/cleaning-company/index.html	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/index.html	(from )
21:47:06	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://technext.github.io/robots.txt		(from )
21:47:06	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Orange/Desktop/rahaf/cleaner/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://technext.github.io/cleaning-company/index.html)
21:47:06	73641/73641	---M-Z	200	added ('OK')	text/css	etag:W/%225e7715a4-11fa9%22	https://technext.github.io/cleaning-company/css/animate.css	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/css/animate.css	(from https://technext.github.io/cleaning-company/index.html)
21:47:06	3440/3440	---M-Z	200	added ('OK')	text/css	etag:W/%225e7715a4-d70%22	https://technext.github.io/cleaning-company/css/owl.carousel.min.css	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/css/owl.carousel.min.css	(from https://technext.github.io/cleaning-company/index.html)
21:47:07	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%225e7715a4-3c5%22	https://technext.github.io/cleaning-company/css/owl.theme.default.min.css	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/css/owl.theme.default.min.css	(from https://technext.github.io/cleaning-company/index.html)
21:47:07	6950/6950	---M-Z	200	added ('OK')	text/css	etag:W/%225e7715a4-1b26%22	https://technext.github.io/cleaning-company/css/magnific-popup.css	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/css/magnific-popup.css	(from https://technext.github.io/cleaning-company/index.html)
21:47:07	1542/1542	---M-Z	200	added ('OK')	text/css	etag:W/%225e7715a4-606%22	https://technext.github.io/cleaning-company/css/flaticon.css	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/css/flaticon.css	(from https://technext.github.io/cleaning-company/index.html)
21:47:08	261093/261093	---M-Z	200	added ('OK')	text/css	etag:W/%225e7715a4-3fbe5%22	https://technext.github.io/cleaning-company/css/style.css	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/css/style.css	(from https://technext.github.io/cleaning-company/index.html)
21:47:08	21763/21763	---M-Z	200	added ('OK')	text/html	etag:W/%225e7715a4-5503%22	https://technext.github.io/cleaning-company/about.html	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/about.html	(from https://technext.github.io/cleaning-company/index.html)
